"Symbol"	"Mutations"	"Samples"	"Samples (%)"	"Cohorts"
"TP53"	"481"	"422"	"26.11"	"8"
"CTNNB1"	"428"	"408"	"25.25"	"9"
"ARID1A"	"107"	"108"	"6.68"	"7"
"AXIN1"	"98"	"88"	"5.45"	"7"
"ARID2"	"108"	"77"	"4.76"	"7"
"ALB"	"90"	"52"	"3.22"	"2"
"NFE2L2"	"66"	"51"	"3.16"	"5"
"KMT2D"	"81"	"41"	"2.54"	"3"
"TSC2"	"60"	"40"	"2.48"	"5"
"RPS6KA3"	"60"	"36"	"2.23"	"4"
"RB1"	"57"	"35"	"2.17"	"4"
"BAP1"	"41"	"30"	"1.86"	"3"
"CDKN2A"	"34"	"29"	"1.79"	"6"
"ACVR2A"	"39"	"27"	"1.67"	"3"
"KEAP1"	"50"	"26"	"1.61"	"2"
"LRP1B"	"160"	"25"	"1.55"	"2"
"PIK3CA"	"31"	"22"	"1.36"	"3"
"ATM"	"53"	"22"	"1.36"	"2"
"NBEA"	"99"	"20"	"1.24"	"2"
"CDKN1A"	"19"	"20"	"1.24"	"4"
"ARID1B"	"36"	"18"	"1.11"	"2"
"FAT4"	"72"	"18"	"1.11"	"2"
"TSC1"	"29"	"17"	"1.05"	"3"
"CDH11"	"30"	"16"	"0.99"	"2"
"IDH1"	"23"	"16"	"0.99"	"3"
"APC"	"49"	"15"	"0.93"	"1"
"BRD7"	"32"	"14"	"0.87"	"2"
"HNF1A"	"34"	"13"	"0.8"	"2"
"SETDB1"	"32"	"12"	"0.74"	"1"
"CACNA1D"	"28"	"11"	"0.68"	"2"
"DHX9"	"33"	"11"	"0.68"	"1"
"TET1"	"27"	"11"	"0.68"	"2"
"KMT2A"	"54"	"11"	"0.68"	"1"
"CREBBP"	"41"	"10"	"0.62"	"1"
"RANBP2"	"41"	"10"	"0.62"	"1"
"SMARCA4"	"30"	"9"	"0.56"	"1"
"FLT4"	"35"	"8"	"0.5"	"2"
"GNAS"	"26"	"8"	"0.5"	"1"
"CLTCL1"	"24"	"8"	"0.5"	"1"
"KRAS"	"21"	"7"	"0.43"	"2"
"NF1"	"48"	"7"	"0.43"	"1"
"PTEN"	"19"	"7"	"0.43"	"2"
"RUNX1T1"	"41"	"7"	"0.43"	"1"
"WNK2"	"44"	"6"	"0.37"	"1"
"NF2"	"14"	"6"	"0.37"	"1"
"HNRNPA2B1"	"21"	"6"	"0.37"	"1"
"USP8"	"11"	"6"	"0.37"	"1"
"SETD2"	"52"	"6"	"0.37"	"1"
"CLTC"	"34"	"6"	"0.37"	"1"
"EP300"	"28"	"5"	"0.31"	"1"
"AXIN2"	"17"	"5"	"0.31"	"1"
"CARD11"	"37"	"5"	"0.31"	"1"
"CDKN1B"	"11"	"4"	"0.25"	"1"
"DNMT3A"	"25"	"4"	"0.25"	"1"
"NRAS"	"12"	"4"	"0.25"	"1"
"MAP3K1"	"26"	"4"	"0.25"	"1"
"NCOR2"	"42"	"4"	"0.25"	"1"
"GMPS"	"9"	"4"	"0.25"	"1"
"MAPK1"	"10"	"3"	"0.19"	"1"
"RPL22"	"13"	"3"	"0.19"	"1"
"KMT2C"	"68"	"3"	"0.19"	"1"
"XPC"	"12"	"3"	"0.19"	"1"
"CAMTA1"	"32"	"3"	"0.19"	"1"
"MTOR"	"31"	"3"	"0.19"	"1"
"ZNF521"	"46"	"3"	"0.19"	"1"
"ABL1"	"14"	"3"	"0.19"	"1"
"PRDM2"	"28"	"2"	"0.12"	"1"
"TFG"	"7"	"2"	"0.12"	"1"
"IL7R"	"6"	"2"	"0.12"	"1"
"MEN1"	"9"	"2"	"0.12"	"1"
"POT1"	"15"	"2"	"0.12"	"1"
"IL6ST"	"14"	"2"	"0.12"	"1"
"ALK"	"34"	"2"	"0.12"	"1"
"BIRC6"	"75"	"2"	"0.12"	"1"
"FAT1"	"45"	"2"	"0.12"	"1"
