"Symbol"	"Mutations"	"Samples"	"Samples (%)"	"Cohorts"
"TP53"	"526"	"495"	"71.64"	"4"
"NF1"	"36"	"42"	"6.08"	"4"
"KRAS"	"23"	"23"	"3.33"	"2"
"PIK3CA"	"29"	"23"	"3.33"	"2"
"CDK12"	"20"	"23"	"3.33"	"2"
"BRCA1"	"21"	"22"	"3.18"	"3"
"BRCA2"	"22"	"21"	"3.04"	"3"
"RB1"	"20"	"16"	"2.32"	"3"
"LRP1B"	"42"	"15"	"2.17"	"1"
"KMT2A"	"20"	"14"	"2.03"	"1"
"MYH9"	"12"	"10"	"1.45"	"1"
"CACNA1D"	"15"	"9"	"1.3"	"1"
"ARID1A"	"14"	"9"	"1.3"	"2"
"KMT2C"	"47"	"8"	"1.16"	"1"
"FOXL2"	"9"	"8"	"1.16"	"1"
"FAT1"	"28"	"8"	"1.16"	"1"
"KMT2D"	"18"	"7"	"1.01"	"1"
"PTPRB"	"22"	"7"	"1.01"	"1"
"PTEN"	"12"	"7"	"1.01"	"2"
"ATRX"	"23"	"7"	"1.01"	"1"
"ERBB2"	"8"	"6"	"0.87"	"1"
"LATS1"	"17"	"6"	"0.87"	"1"
"PPP2R1A"	"8"	"5"	"0.72"	"1"
"NRAS"	"7"	"5"	"0.72"	"1"
"BRAF"	"8"	"5"	"0.72"	"1"
"ACKR3"	"3"	"4"	"0.58"	"1"
"STAT5B"	"4"	"4"	"0.58"	"1"
"NOTCH1"	"12"	"3"	"0.43"	"1"
"UGT2B17"	"7"	"3"	"0.43"	"1"
"NF2"	"7"	"3"	"0.43"	"1"
"EPHA7"	"14"	"3"	"0.43"	"1"
"PTPRT"	"22"	"3"	"0.43"	"1"
"ERG"	"2"	"3"	"0.43"	"1"
"FGFR1"	"7"	"3"	"0.43"	"1"
"ELL"	"3"	"2"	"0.29"	"1"
"JAK1"	"7"	"2"	"0.29"	"1"
"SETD1B"	"3"	"2"	"0.29"	"1"
